trans_id,lang,translation
אבוקה/מורדי הגטאות,EN,Avuka/Mordei Hageta'ot
אבו-קש,EN,Abu- Qash
אבו-שחידם,EN,Abu-Shhedim
אבטין,EN,Ibtin
אבטין יציאה,EN,Ibtin Exit
אבטין כניסה,EN,Ibtin Entry
אבטין מרכז,EN,Ibtin Center
אבטין צפון מערב,EN,Ibtin North West
אבטין שכונה דרומית,EN,Ibtin Southern Quarter
אבטליון,EN,Avtalyon
אבטליון א,EN,Avtalyon A
אבטליון/הריטב"א,EN,Avtalyon/HaRitva
אבטליון/רבי טרפון,EN,Avtalyon/Rabbi Tarfon
אבטליון/רחבת הזמיר,EN,Avtalyon/HaZamir Plaza
אבטליון/שמעיה,EN,Avtalyon/Shmaya
אבטלין/שמעיה,EN,Avtalyon/Shmaya
אבי אורן/אמסטרדם,EN,Avi Oren/Amsterdam
אבי אורן/דנמרק,EN,Avi Oren/Denmark
אבי אורן/דרך יצחק רבין,EN,Avi Oren/Yitshak Rabin Road
אבי אורן/קפלן,EN,Avi Oren/Kaplan
אבי עזרי,EN,Avi Ezri
אבי עזרי א,EN,Avi Ezri A
אבי עזרי ב,EN,Avi Ezri B
אבי עזרי ו,EN,Avi Ezri V
אבי עזרי ז,EN,Avi Ezri Z
אבי עזרי/מסוף,EN,Avi Ezri/Terminal
אביאל,EN,Avi'el
'אביאל א,EN,Aviel A
אביב,EN,Aviv/Dalton River
אביב/ביכורים,EN,Aviv/Bikurim
אביב/נחל דלתון,EN,Aviv/Dalton River
אביב/נחל צלמון,EN,Aviv/Tzalmon River
אביב/נשיאי ישראל,EN,Aviv/Nesi'e Israel
אביב/קציר,EN,Aviv/Katzir
אביבים,EN,Avivim
אביבים 2,EN,Avivim 2
אביבים יציאה,EN,Avivim Exit
אביבים כניסה,EN,Avivim Entry
אביבים מר.,EN,Avivim Ctr.
אביבים/דגניה,EN,Avivim/Dganya
אביבים/כניסה,EN,Avivim/Entrance
אביגדור,EN,Avigdor
אביגדור המאירי/חטיבה שמונה,EN,Avigdor HaMe'iri/Hativa Shmone
אביגדור המאירי/שלום אש,EN,Avigdor HaMe'iri/Shalom Ash
אביגדור קהלני/אהרן צ'חנובר,EN,Avigdor Kahalani/Aaron Ciechanover
אביגדור קהלני/דן שכטמן,EN,Avigdor Kahalani/Dan Shechtman
אביגדור קהלני/הרב עובדיה יוסף,EN,Avigdor Kahalani/HaRav Ovadia Yosef
אביגדור קהלני/עדה יונת,EN,Avigdor Kahalani/Ada Yonat
אביגדור קהלני/עמנואל מורנו,EN,Avigdor Kahalani/Imanuel Moreno
אביגדור/כפר ורבורג,EN,Avigdor/Kfar Warburg
אביגור,EN,Avigur
אביגור/ליפצין,EN,Avigur/Lipchin
אביגיל/רות,EN,Avigayil/Ruth
אביחיל,EN,Avihayil
אביטל,EN,Avital
אביטל א,EN,Avital A
אביטל ב,EN,Avital B
אביטל ג,EN,Avital G
אביטל ד,EN,Avital D
אביטל/עצמון,EN,Avital/Atzmon
אביי/מר עוקבא,EN,Abaye/Mar Ukva
אביי/רב אמי,EN,Abaye/Rav Ami
