מקט,קו,מפעילה,מסלול,נסיעות ביום,מהן נגישות,אחוז נגיש
11989,989,נתיב אקספרס,ת. מרכזית צפת/רציפים-צפת<->הרצוג/עובדיה מברטנורא-נתניה-2#,45,0,0%
12983,983,נתיב אקספרס,טעם הצבי/שלב א-חצור הגלילית<->מרכז תחבורתי הארזים/הורדה-ירוש,30,0,0%
10542,542,אגד,ת. מרכזית ק''ש/רציפים-קרית שמונה<->ת.מרכזית עפולה/הורדה-עפול,81,0,0%
22048,48,אלקטרה אפיקים,ת. מרכזית רחובות/רציפים-רחובות<->ת. מרכזית יבנה-יבנה-2#,274,0,0%
10178,178,אלקטרה אפיקים,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->ת. רכבת יבנה מז,132,0,0%
12451,451,גלים,שדרות נפתלי הרץ אימבר/כפר דרום-באר שבע<->חממות-רהט-20,68,0,0%
11314,314,אלקטרה אפיקים,מסוף קרית אונו-קרית אונו<->ת. מרכזית אשדוד-אשדוד-2#,8,0,0%
10315,315,אלקטרה אפיקים,בי''ח שיב''א/שדרות אהרון קציר-רמת גן<->ת. מרכזית אשדוד-אשדוד,106,0,0%
12452,452,גלים,שדרות נפתלי הרץ אימבר/כפר דרום-באר שבע<->בית ספר אל הודא-רהט,52,0,0%
11455,455,גלים,שדרות נפתלי הרץ אימבר/כפר דרום-באר שבע<->חממות-רהט-20,86,0,0%
11322,322,אלקטרה אפיקים,דבורה הנביאה/ראול ולנברג-תל אביב יפו<->רכבת/מסוף ביג הורדה-א,12,0,0%
11323,323,אלקטרה אפיקים,ת. מרכזית רמלה/רציפים-רמלה<->ת. מרכזית אשדוד-אשדוד-2#,158,0,0%
11522,522,נתיב אקספרס,טעם הצבי/שלב א-חצור הגלילית<->ת. מרכזית צפת/הורדה-צפת-2#,90,0,0%
11324,324,אלקטרה אפיקים,אדר/כוכב השחר-אשדוד<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב ,6,0,0%
11326,326,אלקטרה אפיקים,רכבת/מסוף ביג - רציפים-אשדוד<->ת.מרכזית תל אביב קומה 6/הורדה,6,0,0%
11330,330,אלקטרה אפיקים,ת. מרכזית אשדוד/רציפים-אשדוד<->נתב''ג טרמינל 3/קומת תח''צ-נמ,18,0,0%
13340,340,אלקטרה אפיקים,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->הכוהנים/התאנה-ב,84,0,0%
16045,45,נתיב אקספרס,ת. מרכזית נהריה/רציפים-נהריה<->תיכון עמל-כיסרא סומיע-11,72,0,0%
16044,44,נתיב אקספרס,בית ג'ן 1-בית ג'ן<->ת. מרכזית נהריה/הורדה-נהריה-2#,66,0,0%
17047,47,נתיב אקספרס,מסעף גוליס/מרכז מזון ירכא-ירכא<->ת. מרכזית נהריה/הורדה-נהריה,74,0,0%
11200,200,קווים,גן הדסים/שדרות בית הלל-מודיעין עילית<->אזור התעשייה-בני ברק-,11,0,0%
31074,74,מטרופולין,שד. אתרי המקרא/ציקלג-קרית גת<->סירני/ההגנה-רחובות-2#,6,0,0%
21079,79,קווים,האילן/התדהר-אור עקיבא<->ת. מרכזית חדרה/רציפים-חדרה-20,70,0,0%
10847,847,אגד,מסוף רעננה/רציפים-רעננה<->מסוף חצור הגלילית/הורדה-חצור הגליל,5,0,0%
10963,963,אגד,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->ת. מרכזית ק''ש/הור,18,0,0%
11319,319,אלקטרה אפיקים,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->ת. מרכזית אשדוד,54,0,0%
10541,541,אגד,ת. מרכזית ק''ש/רציפים-קרית שמונה<->ת.מרכזית עפולה/הורדה-עפול,52,0,0%
11669,669,מטרופולין,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->מסוף רעננה/היהלו,114,0,0%
10373,373,מטרופולין,ת. רכבת אופקים רציפים/בינעירוני-אופקים<->ת. מרכזית רחובות/הו,72,0,0%
21033,33,קווים,איבטן-זמר<->ת. מרכזית נתניה/הורדה-נתניה-23,119,0,0%
10625,625,קווים,שדרות יצחק רבין/שושנת העמקים-קדימה צורן<->מסוף רעננה/דרך השר,37,0,0%
12112,112,קווים,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->שדרות החשמונא,10,0,0%
10357,357,מטרופולין,מסוף השחר/הרב עובדיה יוסף-דימונה<->שדרות בית שמאי/שדרות בית ,17,0,0%
10687,687,מטרופולין,מכללת אחוה-באר טוביה<->מרכז מסחרי-שגב שלום-2#,21,0,0%
10660,660,מטרופולין,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->מרכז מסחרי/מצפה,8,0,0%
14160,160,מטרופולין,הספרייה-מצפה רמון<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,30,0,0%
23060,60,מטרופולין,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->מרכז מסחרי/מצפה ,56,0,0%
33011,11,קווים,הורדים/השקד-קדימה צורן<->ת. רכבת בית יהושע-בית יהושע-20,23,0,0%
10640,640,קווים,מכללת הרמלין/המחקר-נתניה<->בי''ח שיב''א/שדרות אהרון קציר-רמת,120,0,0%
10641,641,קווים,החרש/עמל-פתח תקווה<->ת. מרכזית נתניה/הורדה-נתניה-20,170,0,0%
29012,12,קווים,דרך לב השרון/האילן-קדימה צורן<->ת. רכבת בית יהושע-בית יהושע-,23,0,0%
25040,40,גלים,בי''ס אלמותנבי-כסיפה<->מתנ''ס מרכז העיר-רהט-21,32,0,0%
12469,469,מטרופולין,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->ת. רכבת תל אביב ,24,0,0%
13243,243,קווים,מרכז ביג/שדרות גיבורי ישראל-נתניה<->שדרות נורדיה/החרות-נורדי,8,0,0%
11994,994,נתיב אקספרס,יצחק שמיר/הרב דב הכהן קוק-עפולה<->מסוף אלוף שדה-רמת גן-15,91,0,0%
22039,39,קווים,חט''ב א/עבד אל חי-טירה<->ת. מרכזית נתניה/הורדה-נתניה-20,106,0,0%
